gene_symbol,importance
Nell1,0.15738225
Slc17a6,0.07187575
Atp10a,0.046841823
Chrna7,0.07339213
Pcsk6,-0.0001823563
Aldh1a3,-1.0581745e-05
Nr2f2,0.15235138
Mctp2,-6.19935e-05
St8sia2,-6.373977e-05
Sv2b,0.13300624
Ntrk3,0.16507481
Mfge8,0.064160764
Adamtsl3,-2.577122e-05
Stard5,0.00017524719
Folh1,-4.887205e-05
Nox4,-9.786582e-05
Ctsc,8.906436e-06
Rab38,3.843204e-05
Prss23,-0.00026266804
Thrsp,-4.0955158e-05
Tpbgl,-2.989867e-05
Ucp2,0.03182233
Cckbr,0.06372913
Lmo1,0.04044916
Scube2,4.8876143e-05
Galnt18,0.18869673
Tead1,0.1048134
Arntl,0.19038886
Spon1,0.19469035
Sox6,0.07073099
Syt17,0.092509724
Gprc5b,0.06223974
Gpr139,0.00017350203
Crym,0.055566307
Hs3st2,0.062015876
Hs3st4,0.15535025
Coro1a,0.03113219
Itgad,-1.1233213e-05
Plpp4,0.04464903
Gpr26,0.09281239
Adam12,0.038650725
D7Ertd443e,-0.00035769175
C030029H02Rik,0.00031103115
Ebf3,-0.00013071678
Tcerg1l,0.05328292
Rnh1,-0.000113497736
Lsp1,-0.00018206265
Th,0.0001556252
Cdkn1c,-7.5871365e-05
Ano1,-3.4491022e-05
B930025P03Rik,4.9253154e-05
B020031H02Rik,-1.668288e-06
Sox1,0.0002088732
Sfrp1,6.634483e-05
Zmat4,0.13504991
Adam18,-9.863952e-05
Plekha2,0.048193112
Fat1,0.071884125
Pdlim3,9.982328e-06
Vegfc,2.5120535e-05
Glra3,0.087367915
Hpgd,0.00014114408
Palld,-8.728198e-05
Tll1,0.03988072
Npy1r,0.035602864
Lpl,0.048636843
Homer3,-0.0001227286
Isyna1,-0.00014851049
Slc5a5,0.036872998
Ednra,-0.00022472067
Hhip,-6.4198335e-05
Frem3,-0.00017862458
Nfix,0.18710396
Cbln1,-0.000109302746
Adcy7,-0.00010977555
Nkd1,-0.0001752525
Sall1,-0.00012796604
Tox3,0.10413584
Cpne2,0.11889012
Pmfbp1,0.00016903217
Calb2,0.071029626
Adamts18,0.057760622
Maf,0.0582765
Kcng4,5.0514238e-05
Agt,-0.00015428735
Pdgfd,0.00048662792
Trpc6,0.05806439
Gpr83,0.069185466
Npsr1,0.074936025
Barx2,-0.00025019466
Kcnj5,0.00022159849
Fli1,0.05590525
Ets1,0.027472056
Robo3,-0.00013466958
AW551984,0.03923777
Grik4,0.12756203
Scn4b,-6.0504404e-05
Dscaml1,0.22464432
2900052N01Rik,0.00035562945
Zbtb16,0.084332585
Htr3a,-1.0831882e-05
Drd2,-0.00013685109
Layn,-3.8598155e-06
Sln,-9.046393e-05
Tnfaip8l3,0.04567157
Cyp19a1,-0.00013821325
Gldn,6.553623e-05
Acsbg1,1.1542486e-05
Chrna5,-0.00043839193
Chrna3,-0.00013831432
Rpp25,0.04380113
Cplx3,-0.00017274311
Megf11,0.071877316
Car12,0.082988694
Anxa2,4.325666e-05
B230323A14Rik,0.00023811392
Cgnl1,8.818977e-06
Unc13c,0.13735422
Hcrtr2,5.481846e-05
Gsta4,3.3067467e-05
Col12a1,-0.0004786172
Filip1,0.04731935
Htr1b,0.044784665
D430036J16Rik,0.02710027
Tent5a,0.05372833
Tpbg,0.047246408
Rwdd2a,-2.4281446e-05
Prss35,2.26665e-05
Mrap2,0.03617351
Zic1,-0.0001239659
Plscr4,-4.0246014e-06
4921534H16Rik,-1.102555e-06
Rbp1,-8.84447e-05
Esyt3,-7.388977e-05
Ephb1,0.101887316
5830418P13Rik,-4.5678033e-05
Col6a5,5.5413708e-05
Tmie,-4.1499166e-05
Stac,4.1990934e-05
Tgfbr2,0.0031885086
Itga9,0.029052258
Scn5a,0.036269028
Esr1,0.05551553
Oprm1,0.20098245
Ust,0.13746338
Samd5,0.109970495
Grm1,0.18770993
Plagl1,0.04001549
